sample_id,score,supported,contradicted,not_supported,predicate_errors,entity_errors,coref_errors,other_erros,coverage_ratio,mean_position,start_ratio,middle_ratio,end_ratio,ref_len_tokens,summary_len_tokens,rouge1_f,rouge1_p,rouge1_r,rouge2_f,rouge2_p,rouge2_r,rougeL_f,rougeL_p,rougeL_r,bert_score_f1,bert_score_precision,bert_score_recall,evidence_score,faithfulness_score,stability_score,reliability_score,execution_time,vram_max_mb,erro
0,0.94887,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1087,0.42786,0.5,0.25,0.25,11706,1031,0.16178,0.97052,0.08825,0.12854,0.77185,0.07011,0.09318,0.55896,0.05082,0.75656,0.75919,0.75395,0.34559,0.25,0.9448,0.36727,281.74592,4426.24,
1,0.42372,6.0,4.0,0.0,1.0,2.0,1.0,1.0,0.15909,0.39067,0.6,0.1,0.3,11162,1039,0.1684,0.97238,0.09219,0.13379,0.77323,0.07323,0.09415,0.54365,0.05154,0.79575,0.79244,0.79909,0.5147,0.5,0.9639,0.55374,332.64613,4426.25,
2,0.90164,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1087,0.37004,0.5,0.5,0.0,11594,1070,0.15768,0.92633,0.08617,0.11584,0.68113,0.0633,0.07967,0.46804,0.04354,0.74635,0.75927,0.73387,0.48586,0.33333,0.99377,0.47564,235.14482,4426.23,
3,0.90976,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13333,0.56228,0.36364,0.09091,0.54545,11360,1067,0.16197,0.93177,0.08869,0.12369,0.71221,0.06772,0.09236,0.53132,0.05057,0.78538,0.7894,0.7814,0.47265,0.45455,0.97837,0.51598,345.68716,4426.26,
4,0.86861,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.125,0.47676,0.28571,0.42857,0.28571,14115,1045,0.13524,0.96583,0.07271,0.09427,0.67389,0.05068,0.07495,0.53531,0.0403,0.75162,0.78521,0.72078,0.33279,0.14286,0.83284,0.30682,290.95291,4442.17,
5,0.46473,5.0,2.0,0.0,2.0,2.0,2.0,0.0,0.27273,0.69071,0.14286,0.0,0.85714,2734,331,0.2104,1.0,0.11757,0.20513,0.97778,0.11458,0.16304,0.77491,0.09111,0.80328,0.79439,0.81238,0.56922,0.71429,0.99981,0.67031,90.03162,4426.21,
6,0.99604,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03704,0.49112,0.0,1.0,0.0,6904,907,0.21913,0.98547,0.12327,0.12674,0.5706,0.07129,0.11118,0.5,0.06255,0.7905,0.81619,0.76638,0.06481,0.0,1.0,0.1324,65.87138,4426.2,
7,0.53148,6.0,2.0,0.0,0.0,0.0,0.0,2.0,0.14815,0.39109,0.375,0.625,0.0,13768,1016,0.14035,0.97664,0.0756,0.10456,0.72829,0.05632,0.08568,0.59622,0.04616,0.77875,0.80394,0.7551,0.5052,0.5,0.99544,0.55214,340.20152,4426.25,
8,0.4301,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.19444,0.64982,0.14286,0.28571,0.57143,9113,1019,0.19986,0.97605,0.11133,0.17048,0.83333,0.09495,0.10857,0.53022,0.06048,0.80067,0.80804,0.79344,0.599,0.71429,0.99634,0.68485,201.18656,4426.22,
9,0.87893,10.0,1.0,0.0,1.0,1.0,1.0,0.0,0.14062,0.49222,0.36364,0.27273,0.36364,16362,1025,0.12253,0.98997,0.06531,0.09591,0.77567,0.05112,0.07438,0.60089,0.03964,0.80728,0.82508,0.79023,0.51492,0.81818,0.9561,0.68034,517.96865,5885.01,
10,0.76919,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3,0.14955,0.85714,0.14286,0.0,2379,297,0.21544,0.96581,0.12124,0.16985,0.76395,0.09554,0.17922,0.80342,0.10086,0.8588,0.88692,0.83241,0.62986,0.71429,0.93134,0.69378,90.05522,4426.21,
11,0.98154,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15385,0.66629,0.11111,0.44444,0.44444,9977,1026,0.19648,0.98649,0.1091,0.1355,0.68095,0.07524,0.09218,0.46284,0.05119,0.77746,0.80009,0.75607,0.49938,0.55556,0.99462,0.57138,273.99222,4340.31,
12,0.8094,10.0,1.0,0.0,1.0,1.0,1.0,0.0,0.11594,0.56224,0.27273,0.18182,0.54545,17560,1046,0.10884,0.95249,0.05772,0.07508,0.65777,0.03981,0.06183,0.54114,0.03279,0.75063,0.77723,0.72579,0.50286,0.54545,0.99557,0.56917,542.19144,6526.94,
13,0.94907,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.23781,0.77778,0.22222,0.0,8720,1062,0.21421,0.97477,0.12033,0.16284,0.74168,0.09146,0.10534,0.47936,0.05917,0.75086,0.75151,0.75021,0.65596,1.0,0.98485,0.82647,259.28802,4426.23,
14,-0.32376,2.0,5.0,0.0,2.0,3.0,0.0,1.0,0.16667,0.67924,0.0,0.42857,0.57143,7675,930,0.2144,0.97335,0.12046,0.17084,0.77637,0.09598,0.10342,0.46954,0.05811,0.7481,0.7403,0.75607,0.46288,0.57143,0.75848,0.53586,188.14785,4426.21,
15,0.84892,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.16216,0.52934,0.125,0.75,0.125,9248,1023,0.20208,0.90149,0.11379,0.12585,0.56193,0.07086,0.09295,0.41466,0.05234,0.76832,0.78251,0.75463,0.50317,0.625,0.95799,0.59739,236.24618,4426.23,
16,0.7938,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.13208,0.36851,0.5,0.375,0.125,13532,1018,0.14109,0.96628,0.0761,0.09458,0.64843,0.05101,0.08098,0.55465,0.04368,0.78543,0.79327,0.77775,0.5048,0.75,0.99893,0.65229,316.68771,4426.24,
17,0.92143,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.29412,0.48317,0.44444,0.33333,0.22222,4103,495,0.21605,0.99517,0.12118,0.18258,0.84262,0.10238,0.14421,0.66425,0.08088,0.8101,0.80158,0.8188,0.58555,0.77778,0.97834,0.70172,133.4257,4426.21,
18,0.94189,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692,0.29766,0.55556,0.44444,0.0,16518,1073,0.1207,0.96429,0.06438,0.0817,0.6533,0.04357,0.06841,0.54654,0.03649,0.76756,0.79721,0.74004,0.40201,0.0,0.9754,0.29855,399.92888,5688.97,
19,0.78645,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.26667,0.75026,0.0,0.33333,0.66667,3627,438,0.2111,0.95342,0.11869,0.1475,0.66758,0.08291,0.11344,0.51233,0.06378,0.79897,0.79955,0.79839,0.51449,0.83333,0.94795,0.68537,92.91196,4426.21,
20,0.37656,5.0,3.0,0.0,3.0,2.0,2.0,0.0,0.07895,0.21379,0.875,0.125,0.0,9543,1025,0.19316,0.97656,0.10718,0.15125,0.76536,0.08392,0.09139,0.46205,0.05071,0.79596,0.78896,0.80309,0.48979,0.5,0.93088,0.53798,231.45238,4187.78,
21,0.29989,4.0,3.0,0.0,1.0,0.0,0.0,2.0,0.16667,0.55528,0.28571,0.42857,0.28571,9043,1024,0.21194,0.98536,0.11874,0.17541,0.81623,0.09826,0.10633,0.49437,0.05957,0.78606,0.78566,0.78645,0.50409,0.42857,0.95905,0.51938,211.51288,4426.23,
22,-0.98316,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.10256,0.36894,0.4,0.4,0.2,9955,1021,0.17809,0.94063,0.09836,0.14087,0.74476,0.07779,0.09522,0.50291,0.05259,0.78347,0.78656,0.78039,0.52345,0.6,0.88231,0.58996,202.27937,4426.22,
23,0.75056,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.10526,0.54855,0.2,0.4,0.4,14485,1064,0.13508,0.98284,0.07253,0.10963,0.7984,0.05885,0.07187,0.52288,0.03858,0.79606,0.80774,0.78471,0.5445,0.6,0.87011,0.59926,417.28731,4535.43,
24,0.69716,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.19444,0.71253,0.0,0.42857,0.57143,9200,1057,0.20077,0.94819,0.11227,0.15412,0.72859,0.08617,0.10306,0.48675,0.05763,0.76404,0.7731,0.75518,0.5686,0.57143,0.98572,0.61144,205.31983,4426.22,
