sample_id,score,supported,contradicted,not_supported,predicate_errors,entity_errors,coref_errors,other_erros,coverage_ratio,mean_position,start_ratio,middle_ratio,end_ratio,ref_len_tokens,summary_len_tokens,rouge1_f,rouge1_p,rouge1_r,rouge2_f,rouge2_p,rouge2_r,rougeL_f,rougeL_p,rougeL_r,bert_score_f1,bert_score_precision,bert_score_recall,evidence_score,faithfulness_score,stability_score,reliability_score,execution_time,vram_max_mb,erro
0,0.99618,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02174,0.01074,1.0,0.0,0.0,11706,123,0.02101,1.0,0.01062,0.01959,0.94118,0.0099,0.01857,0.8835,0.00938,0.82928,0.94538,0.73858,0.44441,0.6,0.99814,0.56202,223.16192,4426.23,
1,0.99865,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04545,0.17663,0.83333,0.0,0.16667,11162,121,0.02135,1.0,0.01079,0.02094,0.9902,0.01058,0.02011,0.94175,0.01016,0.80189,0.8541,0.7557,0.75207,1.0,0.99985,0.87602,247.74334,4426.23,
2,0.99552,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02174,0.01148,1.0,0.0,0.0,11594,119,0.02134,1.0,0.01078,0.02054,0.9717,0.01038,0.01974,0.92523,0.00998,0.85221,0.95913,0.76674,0.63696,1.0,0.99985,0.81847,181.71296,4426.21,
3,0.99636,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02222,0.01166,1.0,0.0,0.0,11360,120,0.02107,1.0,0.01065,0.02044,0.9798,0.01033,0.02044,0.97,0.01033,0.86241,0.94093,0.79599,0.57343,0.66667,0.99975,0.65336,243.19439,4426.23,
4,0.99401,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07143,0.17898,0.85714,0.0,0.14286,14115,120,0.01532,1.0,0.00772,0.01481,0.97753,0.00746,0.01429,0.93333,0.0072,0.82281,0.89937,0.75826,0.43784,0.14286,0.99959,0.37602,297.94812,4442.17,
5,0.99883,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18182,0.25045,0.85714,0.14286,0.0,2734,118,0.08634,1.0,0.04512,0.08558,1.0,0.0447,0.08634,1.0,0.04512,0.79608,0.83628,0.75957,0.69305,1.0,0.88241,0.83477,106.18624,4426.21,
6,0.8398,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.11111,0.16534,0.75,0.25,0.0,6904,118,0.03677,1.0,0.01873,0.03142,0.86275,0.016,0.0257,0.69903,0.01309,0.84318,0.92185,0.77688,0.63616,1.0,0.99906,0.81799,151.40646,4426.21,
7,0.97701,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03704,0.01255,1.0,0.0,0.0,13768,118,0.01657,1.0,0.00835,0.01623,0.98958,0.00818,0.01657,1.0,0.00835,0.84148,0.9457,0.75796,0.62729,0.83333,1.0,0.74698,296.54021,4426.23,
8,0.99914,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05556,0.01861,1.0,0.0,0.0,9113,123,0.02466,1.0,0.01249,0.02416,0.98947,0.01223,0.02466,1.0,0.01249,0.87419,0.95669,0.80479,0.64716,0.8,0.93857,0.73744,183.50341,4426.22,
9,0.99877,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.13374,0.83333,0.0,0.16667,16362,117,0.01344,1.0,0.00677,0.01315,0.98901,0.00662,0.01344,1.0,0.00677,0.86831,0.94009,0.80671,0.64599,0.83333,0.99989,0.75632,361.36323,5885.01,
10,0.89162,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1,0.05262,1.0,0.0,0.0,2379,125,0.10665,1.0,0.05633,0.10168,0.96154,0.05368,0.10564,0.99048,0.05579,0.86674,0.95765,0.79159,0.61404,0.66667,0.98353,0.67204,106.70962,4426.2,
11,0.99914,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692,0.04949,1.0,0.0,0.0,9977,119,0.02509,1.0,0.0127,0.0246,0.9901,0.01246,0.02509,1.0,0.0127,0.85282,0.94473,0.77722,0.58595,0.8,0.99984,0.71296,188.34017,4221.43,
12,0.98352,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02899,0.13252,0.8,0.2,0.0,17560,124,0.01408,0.9902,0.00709,0.01199,0.85149,0.00604,0.01199,0.84314,0.00604,0.84797,0.92858,0.78024,0.57067,0.8,0.99757,0.70509,295.49614,6517.82,
13,0.99872,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857,0.01293,1.0,0.0,0.0,8720,125,0.02764,1.0,0.01401,0.02737,1.0,0.01388,0.02764,1.0,0.01401,0.85779,0.97298,0.76698,0.78998,1.0,0.99997,0.89498,191.14685,4426.22,
14,0.99818,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06667,0.09358,1.0,0.0,0.0,7675,119,0.02849,1.0,0.01445,0.02571,0.91209,0.01304,0.02694,0.94565,0.01366,0.74199,0.7734,0.71302,0.66905,1.0,0.99979,0.83451,138.11607,4426.21,
15,0.99877,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08108,0.0264,1.0,0.0,0.0,9248,119,0.02597,1.0,0.01316,0.02512,0.97778,0.01273,0.02569,0.98901,0.01301,0.86542,0.9568,0.78997,0.6555,1.0,0.97218,0.82497,223.60257,4426.23,
16,0.99598,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0566,0.28455,0.6,0.2,0.2,13532,119,0.01599,1.0,0.00806,0.01436,0.90805,0.00724,0.01562,0.97727,0.00788,0.8544,0.92901,0.79089,0.77621,0.8,0.98574,0.80668,252.96159,4426.23,
17,0.50706,5.0,3.0,1.0,2.0,2.0,0.0,1.0,0.35294,0.22075,0.77778,0.11111,0.11111,4103,119,0.05713,0.9901,0.02941,0.03887,0.68,0.02001,0.04742,0.82178,0.02441,0.80119,0.82671,0.7772,0.52555,0.44444,0.9486,0.53541,159.82862,4426.21,
18,0.99887,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01538,0.00765,1.0,0.0,0.0,16518,124,0.01378,1.0,0.00694,0.01364,1.0,0.00686,0.01378,1.0,0.00694,0.86391,0.96956,0.77903,0.68849,0.75,0.99999,0.74425,238.59242,5688.97,
19,0.48149,4.0,2.0,0.0,1.0,2.0,0.0,0.0,0.33333,0.33078,0.5,0.33333,0.16667,3627,121,0.06594,0.9901,0.03411,0.06203,0.94,0.03207,0.06528,0.9802,0.03377,0.84418,0.90837,0.78847,0.50386,0.5,0.9899,0.55092,132.20686,4426.21,
20,0.9095,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.10526,0.17621,0.8,0.2,0.0,9543,122,0.02301,1.0,0.01164,0.02253,0.98936,0.01139,0.02228,0.96842,0.01127,0.82499,0.89147,0.76774,0.62286,0.8,0.96449,0.72788,208.8786,4426.22,
