sample_id,score,supported,contradicted,not_supported,predicate_errors,entity_errors,coref_errors,other_erros,coverage_ratio,mean_position,start_ratio,middle_ratio,end_ratio,ref_len_tokens,summary_len_tokens,rouge1_f,rouge1_p,rouge1_r,rouge2_f,rouge2_p,rouge2_r,rougeL_f,rougeL_p,rougeL_r,bert_score_f1,bert_score_precision,bert_score_recall,evidence_score,faithfulness_score,stability_score,reliability_score,execution_time,vram_max_mb,erro
0,0.96821,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1087,0.1694,0.75,0.25,0.0,11706,496,0.08394,0.99765,0.04381,0.07665,0.91294,0.04,0.05274,0.62676,0.02753,0.88301,0.88246,0.88356,0.66845,0.75,0.92323,0.72655,322.21846,4426.24,
1,0.99861,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09091,0.15731,0.85714,0.0,0.14286,11162,492,0.08755,1.0,0.04578,0.08516,0.97477,0.04453,0.07312,0.83524,0.03824,0.88026,0.87159,0.8891,0.73842,1.0,0.99988,0.8692,301.28709,4426.23,
2,0.99653,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04348,0.03651,1.0,0.0,0.0,11594,498,0.08213,0.99299,0.04283,0.08002,0.96956,0.04173,0.07845,0.9486,0.04092,0.89594,0.89499,0.89689,0.59605,0.85714,0.9998,0.74086,264.91506,4426.23,
3,0.99613,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08889,0.12379,0.77778,0.11111,0.11111,11360,504,0.08345,0.99756,0.04355,0.08082,0.96822,0.04217,0.07325,0.87561,0.03822,0.85986,0.83919,0.88156,0.555,0.66667,0.99998,0.64416,304.4592,4426.24,
4,0.99428,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05357,0.23868,1.0,0.0,0.0,14115,490,0.06785,0.96927,0.03515,0.05611,0.80332,0.02907,0.04567,0.65248,0.02366,0.75405,0.76635,0.74215,0.56955,0.71429,0.78115,0.6486,308.54337,4442.17,
5,0.59958,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.27273,0.52421,0.4,0.0,0.6,2734,328,0.1993,0.9697,0.11106,0.19166,0.93536,0.10677,0.15415,0.75,0.0859,0.85382,0.84668,0.86107,0.69905,1.0,0.99976,0.8495,96.80297,4426.2,
6,0.99384,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14815,0.42658,0.4,0.6,0.0,6904,503,0.13623,1.0,0.07309,0.12847,0.94514,0.06892,0.10234,0.75124,0.05491,0.7908,0.78109,0.80076,0.66072,1.0,0.93393,0.82375,164.92666,4426.21,
7,0.99875,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407,0.05508,1.0,0.0,0.0,13768,494,0.0682,1.0,0.03531,0.06655,0.978,0.03445,0.06654,0.97561,0.03444,0.90552,0.90921,0.90187,0.67142,1.0,0.99897,0.83561,355.47229,4426.25,
8,0.99339,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111,0.1347,0.66667,0.33333,0.0,9113,497,0.10077,0.99756,0.05306,0.09906,0.98284,0.05216,0.09286,0.91932,0.0489,0.90899,0.89716,0.92113,0.62866,0.77778,0.99154,0.7246,290.27059,4426.23,
9,0.97376,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.17464,0.8,0.0,0.2,16362,490,0.05979,1.0,0.03082,0.05823,0.97608,0.03001,0.04795,0.80191,0.02471,0.85311,0.84229,0.86421,0.66947,0.8,0.99704,0.75444,318.96187,5885.01,
10,0.90545,8.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.39228,0.44444,0.33333,0.22222,2379,289,0.22729,1.0,0.12822,0.22275,0.98319,0.1256,0.20067,0.88285,0.1132,0.8629,0.88122,0.84533,0.45864,0.55556,0.94997,0.54654,121.79827,4426.21,
11,0.99595,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12821,0.15435,0.71429,0.28571,0.0,9977,495,0.09643,0.98786,0.05069,0.08982,0.92214,0.04721,0.0898,0.9199,0.0472,0.89078,0.88578,0.89583,0.60898,0.71429,0.9844,0.68864,233.67125,4306.18,
12,0.67701,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.04348,0.08607,1.0,0.0,0.0,17560,492,0.05514,0.98297,0.02837,0.05174,0.92439,0.02661,0.04572,0.81509,0.02352,0.75667,0.74453,0.76922,0.63495,0.6,0.94746,0.65222,320.75628,6517.82,
13,0.99862,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05714,0.01834,1.0,0.0,0.0,8720,503,0.10562,0.99244,0.05578,0.1035,0.97475,0.05465,0.1032,0.96977,0.0545,0.9104,0.89471,0.92664,0.71784,1.0,0.99662,0.85858,173.61045,4426.22,
14,0.9921,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06667,0.03338,1.0,0.0,0.0,7675,500,0.1212,0.99036,0.06455,0.11327,0.92754,0.06032,0.10941,0.89398,0.05827,0.87482,0.8597,0.89049,0.77878,1.0,0.9267,0.88206,203.51398,4426.22,
