sample_id,score,supported,contradicted,not_supported,predicate_errors,entity_errors,coref_errors,other_erros,coverage_ratio,mean_position,start_ratio,middle_ratio,end_ratio,ref_len_tokens,summary_len_tokens,rouge1_f,rouge1_p,rouge1_r,rouge2_f,rouge2_p,rouge2_r,rougeL_f,rougeL_p,rougeL_r,bert_score_f1,bert_score_precision,bert_score_recall,evidence_score,faithfulness_score,stability_score,reliability_score,execution_time,vram_max_mb,erro
0,0.99834,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06522,0.07044,1.0,0.0,0.0,11706,496,0.0822,0.98578,0.04289,0.07253,0.87173,0.03784,0.05098,0.61137,0.0266,0.88912,0.8905,0.88775,0.82015,1.0,0.99997,0.92805,371.61063,4426.24,
1,0.99838,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09091,0.15731,0.85714,0.0,0.14286,11162,492,0.08755,1.0,0.04578,0.08516,0.97477,0.04453,0.07312,0.83524,0.03824,0.89486,0.89002,0.89975,0.69381,1.0,0.9998,0.87747,334.90258,4426.23,
2,0.99565,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04348,0.03651,1.0,0.0,0.0,11594,498,0.08213,0.99299,0.04283,0.08002,0.96956,0.04173,0.07845,0.9486,0.04092,0.91627,0.91684,0.91571,0.59605,0.85714,0.99953,0.79542,309.34628,4426.23,
3,0.99367,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08889,0.12379,0.77778,0.11111,0.11111,11360,504,0.08345,0.99756,0.04355,0.08082,0.96822,0.04217,0.07325,0.87561,0.03822,0.89156,0.88237,0.90095,555.0,0.66667,0.99992,0.72197,365.24083,4426.24,
4,0.97929,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05357,0.34199,0.85714,0.0,0.14286,14115,494,0.06529,0.96806,0.03378,0.05303,0.78818,0.02744,0.0449,0.66585,0.02324,0.81093,0.8196,0.80244,0.54118,0.57143,0.82363,0.63499,366.52243,5273.54,
5,0.79785,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.27273,0.44951,0.4,0.2,0.4,2734,328,0.1993,0.9697,0.11106,0.19166,0.93536,0.10677,0.15415,0.75,0.0859,0.87882,0.88067,0.87697,0.64483,0.8,0.99955,0.7978,92.38961,4426.2,
6,0.83531,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.14815,0.36286,0.33333,0.66667,0.0,6904,510,0.13586,0.99504,0.07291,0.12642,0.92786,0.06783,0.09656,0.7072,0.05182,0.85116,0.84658,0.8558,0.6144,0.83333,0.97276,0.78759,204.51016,4426.22,
7,0.9983,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05556,0.10568,875.0,125.0,0.0,13768,494,0.0682,1.0,0.03531,0.06672,0.98044,0.03453,0.06338,0.92927,0.03281,0.92427,0.92373,0.9248,0.64303,1.0,0.99834,0.85671,413.05632,5200.45,
8,0.98761,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333,0.10095,0.75,0.25,0.0,9113,497,0.10077,0.99756,0.05306,0.09906,0.98284,0.05216,0.09286,0.91932,0.0489,0.92293,0.91779,0.92813,0.59176,0.75,0.98222,0.75637,304.48343,4426.23,
9,0.99755,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04688,0.05251,1.0,0.0,0.0,16362,494,0.05978,0.99762,0.03082,0.05794,0.96897,0.02986,0.05236,0.87381,0.02699,0.88792,0.88482,0.89105,0.70638,1.0,0.9999,0.88252,537.46423,6716.38,
