sample_id,score,supported,contradicted,not_supported,predicate_errors,entity_errors,coref_errors,other_erros,coverage_ratio,mean_position,start_ratio,middle_ratio,end_ratio,ref_len_tokens,summary_len_tokens,rouge1_f,rouge1_p,rouge1_r,rouge2_f,rouge2_p,rouge2_r,rougeL_f,rougeL_p,rougeL_r,bert_score_f1,bert_score_precision,bert_score_recall,evidence_score,faithfulness_score,stability_score,reliability_score,execution_time,vram_max_mb
0,0.94889,8,0,0,0,0,0,0,0.1087,0.42786,0.5,0.25,0.25,11706,1031,0.16178,0.97052,0.08825,0.12854,0.77185,0.07011,0.09318,0.55896,0.05082,0.75656,0.75919,0.75395,0.35455,0.25,0.94934,0.37221,302.96135,4426.24
1,0.66264,6,1,3,1,1,0,0,0.22727,0.42415,0.5,0.2,0.3,11162,1039,0.1684,0.97238,0.09219,0.13379,0.77323,0.07323,0.09415,0.54365,0.05154,0.79575,0.79244,0.79909,0.36525,0.3,0.98704,0.40133,358.73958,4426.25
2,0.90165,6,0,0,0,0,0,0,0.1087,0.47282,0.33333,0.5,0.16667,11594,1070,0.15768,0.92633,0.08617,0.11584,0.68113,0.0633,0.07967,0.46804,0.04354,0.74635,0.75927,0.73387,0.47563,0.33333,0.99377,0.47053,255.35037,4426.23
3,0.94058,10,0,1,0,0,0,0,0.13333,0.6113,0.27273,0.09091,0.63636,11360,1067,0.16197,0.93177,0.08869,0.12369,0.71221,0.06772,0.09236,0.53132,0.05057,0.78538,0.7894,0.7814,0.48114,0.45455,0.99057,0.52145,374.39725,4426.26
4,0.86861,6,0,1,0,0,0,0,0.125,0.47676,0.28571,0.42857,0.28571,14115,1045,0.13524,0.96583,0.07271,0.09427,0.67389,0.05068,0.07495,0.53531,0.0403,0.75162,0.78521,0.72078,0.33279,0.14286,0.92868,0.31641,313.12271,4442.17
5,0.7369,5,0,2,0,0,0,0,0.45455,0.62107,0.14286,0.28571,0.57143,2734,331,0.2104,1.0,0.11757,0.20513,0.97778,0.11458,0.16304,0.77491,0.09111,0.80328,0.79439,0.81238,0.6132,0.71429,0.99094,0.69141,98.42673,4426.21
6,0.99604,1,0,0,0,0,0,0,0.03704,0.49112,0.0,1.0,0.0,6904,907,0.21913,0.98547,0.12327,0.12674,0.5706,0.07129,0.11118,0.5,0.06255,0.7905,0.81619,0.76638,0.06481,0.0,1.0,0.1324,73.24877,4426.2
7,0.762,6,0,2,0,0,0,0,0.12963,0.42469,0.5,0.25,0.25,13768,1016,0.14035,0.97664,0.0756,0.10456,0.72829,0.05632,0.08568,0.59622,0.04616,0.77875,0.80394,0.7551,0.52992,0.625,0.99569,0.61453,365.63576,4426.25
8,0.71811,5,0,2,0,0,0,0,0.19444,0.5562,0.28571,0.42857,0.28571,9113,1019,0.19986,0.97605,0.11133,0.17048,0.83333,0.09495,0.10857,0.53022,0.06048,0.80067,0.80804,0.79344,0.54031,0.85714,0.99847,0.71286,217.80205,4426.22
9,0.87893,9,0,2,0,0,0,0,0.14062,0.49222,0.36364,0.27273,0.36364,16362,1025,0.12253,0.98997,0.06531,0.09591,0.77567,0.05112,0.07438,0.60089,0.03964,0.80728,0.82508,0.79023,0.51492,0.81818,0.964,0.68113,559.34206,5885.01
10,0.76919,5,0,2,0,0,0,0,0.3,0.14955,0.85714,0.14286,0.0,2379,297,0.21544,0.96581,0.12124,0.16985,0.76395,0.09554,0.17922,0.80342,0.10086,0.8588,0.88692,0.83241,0.62986,0.71429,0.98094,0.69874,100.10933,4426.21
11,0.9817,9,0,0,0,0,0,0,0.17949,0.55466,0.33333,0.22222,0.44444,9977,1026,0.19648,0.98649,0.1091,0.1355,0.68095,0.07524,0.09218,0.46284,0.05119,0.77746,0.80009,0.75607,0.49134,0.55556,0.99468,0.56736,276.60637,4340.31
12,0.91532,10,0,1,0,0,0,0,0.10145,0.52808,0.27273,0.27273,0.45455,17560,1046,0.10884,0.95249,0.05772,0.07508,0.65777,0.03981,0.06183,0.54114,0.03279,0.75063,0.77723,0.72579,0.53051,0.72727,0.96588,0.65275,515.96295,6526.44
13,0.95132,8,0,1,0,0,0,0,0.2,0.35821,0.66667,0.22222,0.11111,8720,1062,0.21421,0.97477,0.12033,0.16284,0.74168,0.09146,0.10534,0.47936,0.05917,0.75086,0.75151,0.75021,0.62629,0.88889,0.98559,0.76726,246.95759,4426.23
14,0.35324,2,0,5,0,0,0,0,0.13333,0.5821,0.28571,0.14286,0.57143,7675,930,0.2144,0.97335,0.12046,0.17084,0.77637,0.09598,0.10342,0.46954,0.05811,0.7481,0.7403,0.75607,0.44737,0.42857,0.94867,0.48998,191.01881,4426.21
15,0.95383,8,0,0,0,0,0,0,0.16216,0.44398,0.25,0.75,0.0,9248,1023,0.20208,0.90149,0.11379,0.12585,0.56193,0.07086,0.09295,0.41466,0.05234,0.76832,0.78251,0.75463,0.50896,0.625,0.98778,0.60326,232.93125,4426.23
16,0.8831,7,0,1,0,0,0,0,0.11321,0.44213,0.375,0.5,0.125,13532,1018,0.14109,0.96628,0.0761,0.09458,0.64843,0.05101,0.08098,0.55465,0.04368,0.78543,0.79327,0.77775,0.48532,0.75,0.98548,0.64121,314.52339,4426.24
17,0.92146,8,0,1,0,0,0,0,0.29412,0.48381,0.44444,0.22222,0.33333,4103,495,0.21605,0.99517,0.12118,0.18258,0.84262,0.10238,0.14421,0.66425,0.08088,0.8101,0.80158,0.8188,0.59167,0.77778,0.98135,0.70508,134.99295,4426.21
18,0.94189,8,0,1,0,0,0,0,0.07692,0.29766,0.55556,0.44444,0.0,16518,1073,0.1207,0.96429,0.06438,0.0817,0.6533,0.04357,0.06841,0.54654,0.03649,0.76756,0.79721,0.74004,0.40201,0.0,0.97544,0.29855,397.72333,5688.97
19,0.78974,5,0,1,0,0,0,0,0.26667,0.83919,0.0,0.16667,0.83333,3627,438,0.2111,0.95342,0.11869,0.1475,0.66758,0.08291,0.11344,0.51233,0.06378,0.79897,0.79955,0.79839,0.47278,0.83333,0.9556,0.66528,98.41033,4426.21
20,0.59872,5,0,3,0,0,0,0,0.10526,0.37831,0.5,0.375,0.125,9543,1025,0.19316,0.97656,0.10718,0.15125,0.76536,0.08392,0.09139,0.46205,0.05071,0.79596,0.78896,0.80309,0.47644,0.75,0.98679,0.6369,234.45129,4187.78
21,0.65962,4,0,3,0,0,0,0,0.19444,0.51618,0.28571,0.42857,0.28571,9043,1024,0.21194,0.98536,0.11874,0.17541,0.81623,0.09826,0.10633,0.49437,0.05957,0.78606,0.78566,0.78645,0.52969,0.57143,0.99063,0.59248,214.35229,4426.23
22,0.08232,0,0,5,0,0,0,0,0.05128,0.16124,1.0,0.0,0.0,9955,1021,0.17809,0.94063,0.09836,0.14087,0.74476,0.07779,0.09522,0.50291,0.05259,0.78347,0.78656,0.78039,0.47466,0.2,0.99189,0.41652,200.31712,4426.22
23,0.85059,9,0,1,0,0,0,0,0.12281,0.56215,0.2,0.4,0.4,14485,1064,0.13508,0.98284,0.07253,0.10963,0.7984,0.05885,0.07187,0.52288,0.03858,0.79606,0.80774,0.78471,0.49531,0.5,0.95233,0.54289,439.57203,4535.93
24,0.83406,6,0,1,0,0,0,0,0.19444,0.68138,0.0,0.42857,0.57143,9200,1057,0.20077,0.94819,0.11227,0.15412,0.72859,0.08617,0.10306,0.48675,0.05763,0.76404,0.7731,0.75518,0.5484,0.57143,0.98572,0.60134,215.61042,4426.22
25,0.84886,6,0,1,0,0,0,0,0.10714,0.30545,0.71429,0.28571,0.0,14270,1130,0.13763,0.95185,0.07418,0.09506,0.65807,0.05123,0.07011,0.48488,0.03779,0.75397,0.76505,0.7432,0.48227,0.42857,0.96293,0.50886,326.14319,4426.25
26,0.57961,5,0,4,0,0,0,0,0.10959,0.4172,0.33333,0.55556,0.11111,18533,1057,0.11797,0.9654,0.06282,0.0712,0.58324,0.03791,0.06396,0.52344,0.03406,0.78158,0.78247,0.78069,0.46563,0.44444,0.99279,0.50987,488.18453,7002.68
27,0.98876,9,0,0,0,0,0,0,0.1,0.41036,0.55556,0.22222,0.22222,15266,1033,0.12745,0.94927,0.06831,0.10143,0.75621,0.05436,0.07523,0.56032,0.04032,0.73645,0.74153,0.73144,0.44698,0.33333,0.97694,0.45452,372.69323,5035.09
28,0.98823,10,0,0,0,0,0,0,0.3,0.67329,0.2,0.1,0.7,4871,588,0.22311,0.99404,0.12566,0.20536,0.91633,0.11564,0.13878,0.61829,0.07816,0.84622,0.8494,0.84306,0.63792,0.7,0.98631,0.69759,175.85366,4204.58
29,0.75844,8,0,3,0,0,0,0,0.11864,0.60906,0.0,0.72727,0.27273,15057,1047,0.11959,0.87725,0.06417,0.07201,0.52875,0.03864,0.06325,0.46396,0.03394,0.73994,0.75729,0.72337,0.36039,0.0,0.9988,0.28008,459.35639,4764.7
30,0.80295,8,0,2,0,0,0,0,0.21875,0.50059,0.3,0.4,0.3,8090,977,0.21963,0.99171,0.12349,0.19633,0.88731,0.11037,0.11808,0.53318,0.06639,0.76427,0.75032,0.77874,0.56125,0.7,0.9632,0.65695,253.74528,4426.23
31,0.84004,6,0,1,0,0,0,0,0.21739,0.37719,0.42857,0.28571,0.28571,5676,698,0.20698,0.95479,0.11607,0.16314,0.75362,0.09147,0.12583,0.58047,0.07056,0.76398,0.76203,0.76594,0.53631,0.57143,0.9766,0.59439,157.71229,4426.22
32,0.94658,9,0,0,0,0,0,0,0.30769,0.46994,0.22222,0.44444,0.33333,6656,805,0.21012,0.96707,0.11786,0.16756,0.77211,0.09398,0.09985,0.45958,0.05601,0.80297,0.8098,0.79627,0.56758,0.77778,0.98395,0.6933,198.93597,4426.22
33,0.59715,7,0,4,0,0,0,0,0.2069,0.45612,0.36364,0.27273,0.36364,7289,897,0.21806,0.95714,0.12305,0.17125,0.7525,0.09662,0.11196,0.49143,0.06318,0.79244,0.77224,0.81373,0.36128,0.09091,0.99822,0.31683,228.85008,4171.49
